List Of Dependencies of this project (direct and indirect)                                        
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃ Package                   ┃ License(s)                                         ┃
│ platformdirs              │ MIT LICENSE                                        │
│ prometheus_client         │ APACHE SOFTWARE LICENSE                            │
│ prompt_toolkit            │ BSD LICENSE                                        │
│ propcache                 │ APACHE SOFTWARE LICENSE                            │
│ psutil                    │ BSD LICENSE                                        │
│ ptyprocess                │ ISC LICENSE (ISCL)                                 │
│ pure_eval                 │ MIT LICENSE                                        │
│ pyarrow                   │ APACHE SOFTWARE LICENSE                            │
│ pycparser                 │ BSD LICENSE                                        │
│ pymongo                   │ APACHE SOFTWARE LICENSE                            │
│ pyparsing                 │ MIT LICENSE                                        │
│ python-dateutil           │ BSD LICENSE;; APACHE SOFTWARE LICENSE              │
│ python-json-logger        │ BSD LICENSE                                        │
│ pytz                      │ MIT LICENSE                                        │
│ pyzmq                     │ BSD LICENSE                                        │
│ referencing               │ MIT LICENSE                                        │
│ regex                     │ APACHE SOFTWARE LICENSE                            │
│ requests                  │ APACHE SOFTWARE LICENSE                            │
│ rfc3339-validator         │ MIT LICENSE                                        │
│ rfc3986-validator         │ MIT LICENSE                                        │
│ rich                      │ MIT LICENSE                                        │
│ rpds-py                   │ MIT LICENSE                                        │
│ safetensors               │ APACHE SOFTWARE LICENSE                            │
│ scikit-learn              │ BSD LICENSE                                        │
│ scipy                     │ BSD LICENSE                                        │
│ seaborn                   │ BSD LICENSE                                        │
│ setuptools                │ MIT LICENSE                                        │
│ six                       │ MIT LICENSE                                        │
│ sniffio                   │ MIT LICENSE;; APACHE SOFTWARE LICENSE              │
│ sortedcontainers          │ APACHE SOFTWARE LICENSE                            │
│ soupsieve                 │ MIT LICENSE                                        │
│ stack-data                │ MIT LICENSE                                        │
│ sympy                     │ BSD LICENSE                                        │
│ terminado                 │ BSD LICENSE                                        │
│ textual                   │ MIT LICENSE                                        │
│ threadpoolctl             │ BSD LICENSE                                        │
│ tinycss2                  │ BSD LICENSE                                        │
